idno,gincdif,nuts2,eisced,eiscedf,eiscedm,domicil,n2_unrao25_2022,wkhtot,ipeqopt,inprdsc,ppltrst,trstprl,gndr,agea,cntry,marsts,chldhhe,uemp3m,mbtru,hinctnta,c_gini_2022,c_effectiveness_2022,n2_unrao25_2020,n2_unrao25_2021,c_gini_2020,c_gini_2021,c_effectiveness_2020,c_effectiveness_2021,eqi21_n2,eqi21_n2_lowME,eqi21_n2_highME
11300,5,BE32,7,1,2.0,1,8.5,45,1,6,8,8,1,65,BE,66,1,1,2,10,24.9,1.2276587,7.2,8.6,25.4,24.1,1.078783,1.0870334,0.122,-0.078713,0.322713
11323,2,BE25,3,3,1.0,4,1.9,40,2,2,5,5,1,71,BE,66,2,2,2,4,24.9,1.2276587,2.7,2.8,25.4,24.1,1.078783,1.0870334,0.745,0.353999,1.136001
11328,3,BE23,6,4,2.0,4,1.4,45,2,2,6,6,1,61,BE,66,6,2,3,88,24.9,1.2276587,2.2,2.1,25.4,24.1,1.078783,1.0870334,0.679,0.275555,1.082445
11350,1,BE23,2,4,1.0,4,1.4,38,2,6,5,0,2,58,BE,66,2,2,1,7,24.9,1.2276587,2.2,2.1,25.4,24.1,1.078783,1.0870334,0.679,0.275555,1.082445
11365,2,BE25,4,6,4.0,1,1.9,666,3,4,7,7,1,23,BE,6,2,2,3,7,24.9,1.2276587,2.7,2.8,25.4,24.1,1.078783,1.0870334,0.745,0.353999,1.136001
11372,1,BE10,2,4,4.0,1,10.3,666,1,1,5,8,1,19,BE,6,2,2,3,88,24.9,1.2276587,11.4,11.4,25.4,24.1,1.078783,1.0870334,-0.218,-0.518527,0.082527
11384,2,BE23,4,1,1.0,4,1.4,40,2,1,7,3,1,69,BE,4,1,2,3,7,24.9,1.2276587,2.2,2.1,25.4,24.1,1.078783,1.0870334,0.679,0.275555,1.082445
11387,2,BE24,4,1,1.0,4,2.7,40,2,4,5,0,1,35,BE,6,2,2,1,8,24.9,1.2276587,3.1,3.1,25.4,24.1,1.078783,1.0870334,0.557,0.2524540000000001,0.861546
11395,1,BE25,3,88,2.0,1,1.9,42,3,0,5,6,2,70,BE,66,1,2,3,5,24.9,1.2276587,2.7,2.8,25.4,24.1,1.078783,1.0870334,0.745,0.353999,1.136001
11431,1,BE32,2,1,2.0,3,8.5,36,4,3,4,6,1,49,BE,4,9,2,1,8,24.9,1.2276587,7.2,8.6,25.4,24.1,1.078783,1.0870334,0.122,-0.078713,0.322713
11451,4,BE23,4,2,3.0,4,1.4,22,2,4,5,5,2,47,BE,66,6,2,1,7,24.9,1.2276587,2.2,2.1,25.4,24.1,1.078783,1.0870334,0.679,0.275555,1.082445
11452,3,BE24,2,1,1.0,4,2.7,38,3,3,3,5,1,67,BE,3,1,2,2,4,24.9,1.2276587,3.1,3.1,25.4,24.1,1.078783,1.0870334,0.557,0.2524540000000001,0.861546
11458,2,BE23,6,2,2.0,2,1.4,35,2,2,3,1,2,50,BE,66,6,2,3,7,24.9,1.2276587,2.2,2.1,25.4,24.1,1.078783,1.0870334,0.679,0.275555,1.082445
11465,4,BE23,7,7,7.0,2,1.4,2,2,3,6,1,2,39,BE,66,6,2,3,6,24.9,1.2276587,2.2,2.1,25.4,24.1,1.078783,1.0870334,0.679,0.275555,1.082445
11470,2,BE21,4,55,1.0,1,3.2,39,1,2,9,9,1,58,BE,66,6,1,1,4,24.9,1.2276587,3.5,4.2,25.4,24.1,1.078783,1.0870334,0.478,0.153449,0.802551
11526,2,BE22,7,4,1.0,3,3.0,36,2,4,3,5,1,70,BE,4,1,2,2,88,24.9,1.2276587,3.0,2.8,25.4,24.1,1.078783,1.0870334,0.739,0.451199,1.026801
11545,2,BE22,6,3,4.0,3,3.0,40,3,3,7,6,2,30,BE,6,2,2,1,7,24.9,1.2276587,3.0,2.8,25.4,24.1,1.078783,1.0870334,0.739,0.451199,1.026801
11570,2,BE25,6,5,4.0,4,1.9,60,2,2,7,6,2,60,BE,66,1,2,3,77,24.9,1.2276587,2.7,2.8,25.4,24.1,1.078783,1.0870334,0.745,0.353999,1.136001
11574,1,BE21,5,1,1.0,3,3.2,45,1,0,2,1,1,62,BE,66,1,2,2,7,24.9,1.2276587,3.5,4.2,25.4,24.1,1.078783,1.0870334,0.478,0.153449,0.802551
11597,2,BE24,4,2,2.0,4,2.7,40,2,4,8,1,1,52,BE,6,1,1,1,2,24.9,1.2276587,3.1,3.1,25.4,24.1,1.078783,1.0870334,0.557,0.2524540000000001,0.861546
11598,2,BE35,2,7,7.0,4,5.7,666,2,4,3,5,2,19,BE,6,2,2,3,88,24.9,1.2276587,5.1,6.3,25.4,24.1,1.078783,1.0870334,0.492,0.293487,0.6905129999999999
