idno,gincdif,nuts2,wkhtot,agea,cntry,eqi21_n2,eqi21_n2_lowME,eqi21_n2_highME,inc_redist,resp_ed,fath_ed,moth_ed,educ_mob_father,educ_mob_mother,educ_mob_avg,educ_mob_avg_category,EQI,domicile,unemp_nuts2,equality_importance,social_ties,gen_trust,gov_trust,income_decile,gender,union_member,child_ever,marital_status,unemp_ever,cntry_name,educ_mob_avg_bins
25018,4,LT01,37.0,67,France,-0.093,-0.444333,0.258333,3,1.0,1.0,2.0,6.0,5.0,5.5,1,1,3.0,2,3,2,1,1.0,,0,0.0,,,1.0,France,Low
25073,3,LT02,40.0,61,France,-0.344,-0.750751,0.062751,2,6.0,1.0,4.0,11.0,8.0,9.5,2,1,4.0,3,1,3,3,3.0,5,1,0.0,1.0,,0.0,France,Very High
25082,2,LT02,,55,France,-0.344,-0.750751,0.062751,1,1.0,1.0,0.0,6.0,7.0,6.5,2,1,4.0,3,2,2,2,1.0,,0,0.0,,,1.0,France,Moderate
25101,1,LT02,25.0,59,France,-0.344,-0.750751,0.062751,1,4.0,0.0,0.0,10.0,10.0,10.0,2,1,4.0,3,1,2,3,0.0,3,1,0.0,,2.0,1.0,France,Very High
25107,2,LT02,40.0,67,France,-0.344,-0.750751,0.062751,1,6.0,3.0,0.0,9.0,12.0,10.5,2,1,1.0,3,1,1,3,3.0,10,1,0.0,1.0,,0.0,France,Very High
25114,2,LT02,,62,France,-0.344,-0.750751,0.062751,1,4.0,0.0,0.0,10.0,10.0,10.0,2,1,3.0,3,1,3,2,0.0,,1,0.0,1.0,,1.0,France,Very High
25139,2,LT02,40.0,65,France,-0.344,-0.750751,0.062751,1,2.0,0.0,0.0,8.0,8.0,8.0,2,1,3.0,3,2,1,2,1.0,,1,0.0,1.0,,0.0,France,High
25146,2,LT02,,43,France,-0.344,-0.750751,0.062751,1,4.0,5.0,3.0,5.0,7.0,6.0,0,1,4.0,3,,3,1,1.0,,0,0.0,0.0,,,France,Low
25147,2,LT02,40.0,50,France,-0.344,-0.750751,0.062751,1,4.0,3.0,5.0,7.0,5.0,6.0,0,1,3.0,3,1,3,3,2.0,10,1,0.0,1.0,,0.0,France,Low
25155,2,LT01,,62,France,-0.093,-0.444333,0.258333,1,4.0,1.0,1.0,9.0,9.0,9.0,2,1,1.0,2,1,3,2,0.0,4,0,0.0,1.0,2.0,0.0,France,Very High
25160,2,LT02,40.0,57,France,-0.344,-0.750751,0.062751,1,6.0,0.0,1.0,12.0,11.0,11.5,2,1,4.0,3,1,3,3,2.0,9,1,0.0,,,0.0,France,Very High
